treatment,maxneg,maxneggene,smaxneg,smaxneggene,smaxpos,smaxposgene,maxpos,maxposgene
BRD-K00168116:1.111 uM:1,-0.195404575451172,OR5BE1P (ENSG00000225538),-0.182998106777697,AC026434.2 (ENSG00000249878),0.188066244523176,LAPTM4B (ENSG00000104341),0.202400234464008,ZDHHC7 (ENSG00000153786)
BRD-K10976972:10 uM:1,-0.193557942835047,ELOVL5 (ENSG00000012660),-0.191044665181514,RIMS2 (ENSG00000176406),0.209515591910875,EPS8L3 (ENSG00000198758),0.214561706144417,APCDD1 (ENSG00000154856)
BRD-K76748819:3.333 uM:1,-0.229751348512868,AL161618.1 (ENSG00000236164),-0.209177702889176,LCN1P2 (ENSG00000204031),0.218659480464512,AC092925.1 (ENSG00000239661),0.219872571287826,RN7SL415P (ENSG00000240961)
BRD-K74144411:10 uM:1,-0.219346691492348,AC008972.1 (ENSG00000271926),-0.215278998105383,AL590095.1 (ENSG00000223581),0.18604010516353,AL021707.1 (ENSG00000225450),0.188022605763631,AP001528.2 (ENSG00000255471)
BRD-K07602901:10 uM:1,-0.234280219740625,AC138625.2 (ENSG00000259833),-0.232318765572298,AC079340.1 (ENSG00000250706),0.250475781249972,SIPA1L2 (ENSG00000116991),0.253652822338627,ENPP2 (ENSG00000136960)
BRD-A53478480:10 uM:1,-0.302333700160598,AC080100.1 (ENSG00000279675),-0.300439279694328,AGAP2 (ENSG00000135439),0.307753635243644,NCEH1 (ENSG00000144959),0.323503333788723,SP100 (ENSG00000067066)
BRD-K36782077:1.111 uM:1,-0.199629343871529,AL669831.6 (ENSG00000283040),-0.194161251634803,LINC01706 (ENSG00000224711),0.182488641444892,PASD1 (ENSG00000166049),0.184197596383967,AP003171.1 (ENSG00000254874)
BRD-K68525884:3.333 uM:1,-0.23637536498292,IGHV3-19 (ENSG00000253883),-0.235329040928174,SMARCE1P7 (ENSG00000270973),0.204173968745894,AC105271.1 (ENSG00000233894),0.210144591876949,IGHV2-70D (ENSG00000211974)
BRD-K00040214:10 uM:1,-0.208273222514278,AC092471.1 (ENSG00000256150),-0.203482001008314,SUPT4H1P2 (ENSG00000246115),0.184768929649289,AC079203.1 (ENSG00000243094),0.192385260946348,AC116158.2 (ENSG00000259598)
BRD-K03693358:10 uM:1,-0.352495282856386,ELK3 (ENSG00000111145),-0.348409855346643,PIK3CD (ENSG00000171608),0.345053627245524,PRR15 (ENSG00000176532),0.345640319499062,HID1 (ENSG00000167861)
BRD-A29714518:10 uM:1,-0.265576549084294,KRT14 (ENSG00000186847),-0.230497369872883,INKA1 (ENSG00000185614),0.239456378113149,PLCB4 (ENSG00000101333),0.242773610846066,C4orf45 (ENSG00000164123)
BRD-K09758014:1.111 uM:1,-0.313989015287298,AC139769.2 (ENSG00000267924),-0.297309877970633,LINC01593 (ENSG00000231221),0.26659374853405,DPYD (ENSG00000188641),0.267754296930151,CFL2 (ENSG00000165410)
BRD-A92476293:1.111 uM:1,-0.218758905682127,SMARCE1P7 (ENSG00000270973),-0.211690531115356,GOT2P1 (ENSG00000231900),0.168723423039311,UBAP1 (ENSG00000165006),0.172441664934015,MROH2A (ENSG00000185038)
BRD-A06147266:3.333 uM:1,-0.240676702515972,OR7E106P (ENSG00000258550),-0.236578314381826,AL079307.2 (ENSG00000259111),0.186796864574487,LINC00515 (ENSG00000260583),0.195794461415093,AC245187.2 (ENSG00000282142)
BRD-K41185810:3.333 uM:1,-0.229320060896973,LRP1-AS (ENSG00000259125),-0.215221234843452,RTN2 (ENSG00000125744),0.182191081255101,BIK (ENSG00000100290),0.219256342660867,ADIRF (ENSG00000148671)
BRD-A99727719:1.111 uM:1,-0.195397263319293,PGBD4P6 (ENSG00000226064),-0.166779246872156,OR2AM1P (ENSG00000236110),0.193737771894995,BCO2 (ENSG00000197580),0.194414081954858,AC098680.1 (ENSG00000251642)
BRD-K53200090:10 uM:1,-0.202696646722616,NUBP1 (ENSG00000103274),-0.196969321298083,PPDPF (ENSG00000125534),0.203964745980627,LINC01828 (ENSG00000235885),0.224595367097012,LINC01984 (ENSG00000265556)
BRD-K62352112:3.333 uM:1,-0.340155673029801,TBPL1 (ENSG00000028839),-0.328343519569897,CDC123 (ENSG00000151465),0.317623542723127,LGALS3 (ENSG00000131981),0.336867895783204,PCDH1 (ENSG00000156453)
BRD-K79646918:10 uM:1,-0.226547386799164,HIF1A (ENSG00000100644),-0.193976514278825,BNIP3 (ENSG00000176171),0.245409974478516,RNF32 (ENSG00000105982),0.2504843900802,PAXIP1-AS1 (ENSG00000273344)
BRD-K97081480:1.111 uM:1,-0.211429877140425,AC017083.3 (ENSG00000273398),-0.189750760146761,AC009108.2 (ENSG00000260387),0.187122592490915,SLIT2-IT1 (ENSG00000248228),0.187159589305301,LINC01105 (ENSG00000232044)
BRD-K07285786:3.333 uM:1,-0.242779804019653,KNCN (ENSG00000162456),-0.228409610020271,AC009132.1 (ENSG00000261458),0.224900429655983,AC105914.1 (ENSG00000250200),0.228001421912855,LINC02376 (ENSG00000256292)
BRD-K12534150:3.333 uM:1,-0.200791153533202,RN7SL823P (ENSG00000263595),-0.186746148970229,CFAP46 (ENSG00000171811),0.226953614303704,P2RY8 (ENSG00000182162),0.228801209221726,KLHL2 (ENSG00000109466)
